         25105 function calls (24878 primitive calls) in 1.300 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.067    0.017 process_executor.py:1091(_ensure_executor_running)
        4    0.000    0.000    0.001    0.000 _memmapping_reducer.py:168(_get_temp_dir)
        4    0.000    0.000    0.000    0.000 indexing.py:2204(convert_to_index_sliceable)
      6/4    0.000    0.000    0.014    0.004 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
       25    0.000    0.000    0.000    0.000 _collections_abc.py:801(__init__)
        8    0.000    0.000    0.001    0.000 iostream.py:384(write)
       64    0.000    0.000    0.000    0.000 common.py:201(is_object_dtype)
        4    0.000    0.000    0.001    0.000 generic.py:3824(_set_item)
      134    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       16    0.000    0.000    0.000    0.000 process.py:99(_check_closed)
        6    0.000    0.000    0.000    0.000 base.py:6023(_maybe_cast_data_without_dtype)
        6    0.000    0.000    0.000    0.000 managers.py:126(__init__)
       62    0.000    0.000    0.000    0.000 common.py:463(is_period_dtype)
       12    0.000    0.000    0.000    0.000 construction.py:423(sanitize_array)
        8    0.000    0.000    0.000    0.000 queue.py:122(put)
       62    0.000    0.000    0.000    0.000 common.py:537(is_categorical_dtype)
        2    0.000    0.000    0.001    0.000 managers.py:1690(create_block_manager_from_arrays)
     12/8    0.000    0.000    0.000    0.000 agent.py:43(__init__)
        4    0.000    0.000    0.000    0.000 concat.py:179(__init__)
       11    0.000    0.000    0.003    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.000    0.000 queues.py:71(_reset)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x105a72310}
       10    0.000    0.000    0.000    0.000 {pandas._libs.lib.infer_dtype}
       62    0.000    0.000    0.000    0.000 common.py:499(is_interval_dtype)
        4    0.000    0.000    0.000    0.000 connection.py:395(_send_bytes)
        4    0.000    0.000    0.002    0.000 frame.py:3231(_set_item)
        2    0.000    0.000    0.000    0.000 _memmapping_reducer.py:338(__init__)
       52    0.000    0.000    0.000    0.000 dtypes.py:1132(is_dtype)
        4    0.000    0.000    0.000    0.000 connection.py:186(send_bytes)
       46    0.000    0.000    0.000    0.000 fromnumeric.py:52(_wrapfunc)
        9    0.000    0.000    0.002    0.000 synchronize.py:155(__init__)
        2    0.000    0.000    0.000    0.000 concat.py:35(concatenate_block_managers)
       12    0.000    0.000    0.001    0.000 construction.py:730(convert)
       92    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       20    0.000    0.000    0.001    0.000 base.py:5836(ensure_index)
        2    0.000    0.000    0.001    0.000 construction.py:62(arrays_to_mgr)
        5    0.000    0.000    0.001    0.000 context.py:324(Lock)
        8    0.000    0.000    0.000    0.000 blocks.py:2721(make_block)
        6    0.000    0.000    0.000    0.000 contextlib.py:242(helper)
        8    0.000    0.000    0.000    0.000 queue.py:154(get)
        6    0.000    0.000    0.000    0.000 range.py:133(_simple_new)
        4    0.000    0.000    0.002    0.000 frame.py:3147(__setitem__)
        5    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:1041(get_data)
       48    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(tile)
      112    0.000    0.000    0.000    0.000 context.py:351(get_spawning_popen)
       14    0.000    0.000    0.000    0.000 common.py:573(is_string_dtype)
        6    0.000    0.000    0.000    0.000 shape_base.py:82(atleast_2d)
       30    0.000    0.000    0.000    0.000 base.py:5953(maybe_extract_name)
        4    0.000    0.000    0.001    0.000 {built-in method builtins.print}
        8    0.000    0.000    0.000    0.000 numerictypes.py:575(_can_coerce_all)
   102/98    0.000    0.000    0.000    0.000 _asarray.py:23(asarray)
       12    0.000    0.000    0.000    0.000 base.py:425(_simple_new)
        6    0.000    0.000    0.000    0.000 cast.py:1617(construct_1d_object_array_from_listlike)
        4    0.000    0.000    0.000    0.000 {built-in method _signal.pthread_sigmask}
        4    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.000    0.000 flags.py:47(__init__)
       12    0.000    0.000    0.000    0.000 threading.py:351(notify)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        2    0.000    0.000    1.215    0.608 parallel.py:918(retrieve)
       59    0.000    0.000    0.000    0.000 threading.py:1039(_wait_for_tstate_lock)
    37/34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        2    0.000    0.000    0.002    0.001 _parallel_backends.py:546(terminate)
        2    0.000    0.000    0.000    0.000 managers.py:1860(_stack_arrays)
       20    0.000    0.000    0.000    0.000 common.py:198(asarray_tuplesafe)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:82(add)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
       52    0.000    0.000    0.000    0.000 dtypes.py:923(is_dtype)
        6    0.000    0.000    0.000    0.000 threading.py:82(RLock)
        8    0.000    0.000    0.000    0.000 signal.py:61(<genexpr>)
        1    0.000    0.000    0.000    0.000 queues.py:37(__init__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
        4    0.000    0.000    0.001    0.000 base.py:5544(insert)
        2    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 frame.py:3833(_sanitize_column)
        6    0.000    0.000    0.000    0.000 uuid.py:713(uuid4)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
        4    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        2    0.000    0.000    0.000    0.000 base.py:1250(_validate_names)
        4    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_object}
       12    0.000    0.000    0.000    0.000 cast.py:1257(maybe_castable)
        1    0.000    0.000    0.000    0.000 threading.py:1107(daemon)
        5    0.000    0.000    0.000    0.000 posixpath.py:334(normpath)
        1    0.000    0.000    0.000    0.000 <ipython-input-2-f3e5a6f7c38d>:62(<module>)
        4    0.000    0.000    0.000    0.000 _asarray.py:293(require)
       48    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        4    0.000    0.000    0.000    0.000 parallel.py:321(delayed)
       68    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      117    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       12    0.000    0.000    0.000    0.000 construction.py:554(_try_cast)
       32    0.000    0.000    0.000    0.000 popen_loky_posix.py:31(__init__)
        1    0.000    0.000    0.000    0.000 process_executor.py:1015(_setup_queues)
        5    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3301(mean)
        2    0.000    0.000    0.000    0.000 construction.py:655(_validate_or_indexify_columns)
        3    0.000    0.000    0.000    0.000 queue.py:206(_init)
       72    0.000    0.000    0.000    0.000 context.py:357(assert_spawning)
        1    0.000    0.000    0.002    0.002 reusable_executor.py:94(__init__)
        2    0.000    0.000    0.000    0.000 agent.py:689(__init__)
        2    0.000    0.000    0.001    0.000 construction.py:502(to_arrays)
