         347317 function calls (343352 primitive calls) in 17.825 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      250    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
      250    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      250    0.002    0.000    0.003    0.000 {pandas._libs.lib.infer_dtype}
      250    0.000    0.000    0.000    0.000 common.py:157(ensure_python_int)
      250    0.000    0.000    0.002    0.000 base.py:5969(_maybe_cast_with_dtype)
      242    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      210    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
      205    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
      202    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
      201    0.001    0.000   17.436    0.087 threading.py:270(wait)
      200    0.000    0.000    0.001    0.000 {built-in method builtins.sum}
      200    0.000    0.000    0.000    0.000 {method '_is_owned' of '_thread.RLock' objects}
      200    0.000    0.000    0.000    0.000 {method '_acquire_restore' of '_thread.RLock' objects}
      200    0.000    0.000    0.000    0.000 {method '_release_save' of '_thread.RLock' objects}
      200    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      200    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
      200    0.001    0.000    0.001    0.000 numerictypes.py:578(_can_coerce_all)
      200    0.000    0.000    0.000    0.000 fromnumeric.py:1689(_ravel_dispatcher)
      200    0.000    0.000    0.001    0.000 fromnumeric.py:1693(ravel)
      200    0.000    0.000    0.000    0.000 fromnumeric.py:3033(_ndim_dispatcher)
      200    0.000    0.000    0.000    0.000 fromnumeric.py:3037(ndim)
      200    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ravel)
      200    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
      200    0.000    0.000    0.000    0.000 function_base.py:4636(_append_dispatcher)
      200    0.000    0.000    0.002    0.000 function_base.py:4640(append)
      200    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(append)
      200    0.000    0.000    0.000    0.000 common.py:355(is_datetime64_dtype)
      200    0.000    0.000    0.001    0.000 common.py:610(<genexpr>)
      200    0.000    0.000    0.000    0.000 common.py:1762(<genexpr>)
      200    0.000    0.000    0.000    0.000 common.py:174(<genexpr>)
      200    0.000    0.000    0.000    0.000 base.py:381(<genexpr>)
      200    0.000    0.000    0.000    0.000 frame.py:1158(__len__)
      200    0.000    0.000    0.000    0.000 generic.py:456(_get_axis_number)
      200    0.000    0.000    0.000    0.000 generic.py:545(_info_axis)
      200    0.000    0.000    0.000    0.000 blocks.py:2505(_maybe_coerce_values)
      200    0.001    0.000    0.010    0.000 blocks.py:2711(make_block)
      195    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      181    0.000    0.000    0.003    0.000 {built-in method builtins.next}
      168    0.000    0.000    0.000    0.000 context.py:351(get_spawning_popen)
      165    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      156    0.000    0.000    0.001    0.000 pickle.py:322(_getattribute)
      156    0.000    0.000    0.001    0.000 cloudpickle.py:123(_whichmodule)
      156    0.000    0.000    0.004    0.000 cloudpickle.py:166(_is_importable_by_name)
      156    0.001    0.000    0.004    0.000 cloudpickle.py:171(_lookup_module_and_qualname)
      156    0.000    0.000    0.001    0.000 cloudpickle.py:1310(_is_dynamic)
      152    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
      152    0.000    0.000    0.000    0.000 random.py:250(_randbelow_with_getrandbits)
      152    0.001    0.000    0.001    0.000 random.py:285(choice)
      150    0.003    0.000    0.004    0.000 {built-in method builtins.eval}
      150    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      150    0.001    0.000    0.001    0.000 {built-in method posix.urandom}
      150    0.000    0.000    0.000    0.000 shape_base.py:79(_atleast_2d_dispatcher)
      150    0.001    0.000    0.001    0.000 shape_base.py:83(atleast_2d)
      150    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(atleast_2d)
      150    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_iterator}
      150    0.001    0.000    0.001    0.000 cast.py:1617(construct_1d_object_array_from_listlike)
      150    0.000    0.000    0.000    0.000 base.py:623(dtype)
