         7849740 function calls (7616040 primitive calls) in 8.259 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.000    0.000    0.000    0.000 generic.py:545(_info_axis)
       10    0.000    0.000    0.000    0.000 shape_base.py:224(vstack)
       20    0.000    0.000    0.000    0.000 base.py:503(_get_attributes_dict)
       90    0.000    0.000    0.000    0.000 base.py:1232(name)
       10    0.000    0.000    0.000    0.000 {pandas._libs.lib.array_equivalent_object}
       10    0.000    0.000    0.000    0.000 api.py:95(_get_distinct_objs)
       10    0.000    0.000    0.001    0.000 concat.py:537(<listcomp>)
       70    0.000    0.000    0.000    0.000 common.py:1551(_is_dtype)
       10    0.000    0.000    0.000    0.000 frozen.py:66(__getitem__)
       10    0.000    0.000    0.002    0.000 generic.py:5538(f)
       60    0.000    0.000    0.000    0.000 blocks.py:343(shape)
       20    0.000    0.000    0.000    0.000 numerictypes.py:654(<listcomp>)
       90    0.000    0.000    0.000    0.000 base.py:4070(_values)
       70    0.000    0.000    0.000    0.000 managers.py:253(items)
       20    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.000    0.000 api.py:65(get_objs_combined_axis)
       20    0.000    0.000    0.000    0.000 common.py:1743(validate_all_hashable)
       10    0.000    0.000    0.000    0.000 base.py:510(_shallow_copy)
       40    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       20    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
       30    0.000    0.000    0.000    0.000 concat.py:536(_combine_concat_plans)
       40    0.000    0.000    0.000    0.000 common.py:355(is_datetime64_dtype)
       20    0.000    0.000    0.000    0.000 base.py:1281(_get_names)
       20    0.000    0.000    0.000    0.000 concat.py:179(__init__)
       20    0.000    0.000    0.000    0.000 generic.py:476(_get_block_manager_axis)
       10    0.000    0.000    0.002    0.000 generic.py:5534(_consolidate_inplace)
       20    0.000    0.000    0.000    0.000 generic.py:5442(<genexpr>)
