         347317 function calls (343352 primitive calls) in 17.825 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      450    0.000    0.000    0.000    0.000 managers.py:320(<genexpr>)
      500    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       50    0.000    0.000    0.000    0.000 managers.py:1938(<listcomp>)
       50    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
      400    0.000    0.000    0.000    0.000 common.py:129(cast_scalar_indexer)
      150    0.000    0.000    0.000    0.000 flags.py:47(__init__)
       19    0.000    0.000    0.001    0.000 tempfile.py:147(<listcomp>)
      300    0.000    0.000    0.001    0.000 managers.py:1863(_asarray_compat)
      603    0.000    0.000    0.001    0.000 _asarray.py:88(asanyarray)
      150    0.000    0.000    0.000    0.000 uuid.py:327(hex)
     1000    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       50    0.000    0.000    0.018    0.000 utils.py:41(create_agents)
      300    0.000    0.000    0.001    0.000 construction.py:354(extract_array)
        1    0.000    0.000    0.001    0.001 process_executor.py:493(__init__)
      200    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
      150    0.000    0.000    0.000    0.000 managers.py:690(<listcomp>)
      548    0.000    0.000    0.000    0.000 connection.py:134(_check_closed)
       24    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      100    0.000    0.000    0.013    0.000 agent.py:76(reset)
      242    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       60    0.000    0.000    0.001    0.000 popen_loky_posix.py:62(duplicate_for_child)
      150    0.000    0.000    0.000    0.000 managers.py:132(<listcomp>)
       13    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      500    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       50    0.000    0.000    0.002    0.000 missing.py:367(array_equivalent)
       18    0.000    0.000    0.000    0.000 synchronize.py:99(_make_methods)
        1    0.000    0.000    0.000    0.000 threading.py:761(__init__)
      250    0.000    0.000    0.000    0.000 common.py:157(ensure_python_int)
      500    0.000    0.000    0.000    0.000 _base.py:386(__get_result)
     1100    0.000    0.000    0.000    0.000 fromnumeric.py:436(_repeat_dispatcher)
       50    0.000    0.000    0.001    0.000 base.py:5947(default_index)
      150    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(atleast_2d)
      195    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      200    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(append)
       50    0.000    0.000    0.001    0.000 base.py:826(copy)
      100    0.000    0.000    0.012    0.000 managers.py:991(_consolidate_inplace)
      101    0.000    0.000    0.001    0.000 posixpath.py:372(abspath)
       50    0.000    0.000    0.002    0.000 concat.py:542(_get_comb_axis)
      150    0.000    0.000    0.001    0.000 base.py:1239(name)
       12    0.000    0.000    0.000    0.000 process.py:259(__repr__)
      100    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
      300    0.000    0.000    0.002    0.000 managers.py:1911(<lambda>)
      200    0.000    0.000    0.001    0.000 {built-in method builtins.sum}
       52    0.000    0.000    0.002    0.000 {built-in method builtins.sorted}
      650    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_scalar}
      650    0.000    0.000    0.000    0.000 blocks.py:347(dtype)
       13    0.000    0.000    0.000    0.000 _collections_abc.py:672(keys)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
      300    0.000    0.000    0.000    0.000 blocks.py:161(_check_ndim)
      200    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ravel)
      141    0.000    0.000    0.001    0.000 resource_tracker.py:179(_check_alive)
      100    0.000    0.000    0.000    0.000 common.py:170(all_none)
       48    0.000    0.000    0.001    0.000 _posix_reduction.py:34(DupFd)
       50    0.000    0.000    0.006    0.000 concat.py:535(_get_new_axes)
      500    0.000    0.000    0.000    0.000 _parallel_backends.py:590(__init__)
      125    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       50    0.000    0.000    0.000    0.000 missing.py:465(_array_equivalent_object)
      100    0.000    0.000    0.002    0.000 base.py:5287(_maybe_cast_indexer)
       50    0.000    0.000    0.000    0.000 contextlib.py:82(__init__)
      563    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      200    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      100    0.000    0.000    0.001    0.000 blocks.py:288(make_block_same_class)
      100    0.000    0.000    0.000    0.000 _asarray.py:300(<setcomp>)
       50    0.000    0.000    0.028    0.001 construction.py:736(<listcomp>)
       19    0.000    0.000    0.000    0.000 tempfile.py:133(rng)
