         7849740 function calls (7616040 primitive calls) in 8.259 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
       40    0.000    0.000    0.000    0.000 numerictypes.py:578(_can_coerce_all)
       40    0.000    0.000    0.000    0.000 fromnumeric.py:1689(_ravel_dispatcher)
       40    0.000    0.000    0.000    0.000 fromnumeric.py:1693(ravel)
       40    0.000    0.000    0.000    0.000 fromnumeric.py:3033(_ndim_dispatcher)
       40    0.000    0.000    0.000    0.000 fromnumeric.py:3037(ndim)
       40    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ravel)
       40    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
       40    0.000    0.000    0.000    0.000 function_base.py:4636(_append_dispatcher)
       40    0.000    0.000    0.000    0.000 function_base.py:4640(append)
       40    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(append)
       40    0.000    0.000    0.000    0.000 common.py:355(is_datetime64_dtype)
       40    0.000    0.000    0.000    0.000 common.py:610(<genexpr>)
       40    0.000    0.000    0.000    0.000 common.py:1762(<genexpr>)
       40    0.000    0.000    0.000    0.000 common.py:174(<genexpr>)
       40    0.000    0.000    0.000    0.000 base.py:381(<genexpr>)
       40    0.000    0.000    0.000    0.000 frame.py:1158(__len__)
       40    0.000    0.000    0.000    0.000 generic.py:456(_get_axis_number)
       40    0.000    0.000    0.000    0.000 generic.py:545(_info_axis)
       40    0.000    0.000    0.000    0.000 blocks.py:2505(_maybe_coerce_values)
       40    0.000    0.000    0.002    0.000 blocks.py:2711(make_block)
     30/5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
     30/5    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
       30    0.000    0.000    0.000    0.000 shape_base.py:79(_atleast_2d_dispatcher)
       30    0.000    0.000    0.000    0.000 shape_base.py:83(atleast_2d)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_2d)
       30    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_iterator}
       30    0.000    0.000    0.000    0.000 cast.py:1617(construct_1d_object_array_from_listlike)
       30    0.000    0.000    0.000    0.000 base.py:623(dtype)
       30    0.000    0.000    0.000    0.000 base.py:1239(name)
       30    0.000    0.000    0.000    0.000 base.py:6023(_maybe_cast_data_without_dtype)
       30    0.000    0.000    0.000    0.000 flags.py:47(__init__)
       30    0.000    0.000    0.000    0.000 range.py:133(_simple_new)
       30    0.000    0.000    0.013    0.000 frame.py:502(__init__)
       30    0.000    0.000    0.000    0.000 generic.py:188(__init__)
       30    0.000    0.000    0.000    0.000 generic.py:569(ndim)
       30    0.000    0.000    0.000    0.000 concat.py:536(_combine_concat_plans)
       30    0.000    0.000    0.000    0.000 managers.py:132(<listcomp>)
       30    0.000    0.000    0.001    0.000 managers.py:126(__init__)
       30    0.000    0.000    0.000    0.000 managers.py:157(blknos)
       30    0.000    0.000    0.000    0.000 managers.py:173(blklocs)
       30    0.000    0.000    0.000    0.000 managers.py:318(_verify_integrity)
       30    0.000    0.000    0.000    0.000 managers.py:681(is_consolidated)
       30    0.000    0.000    0.000    0.000 managers.py:690(<listcomp>)
       30    0.000    0.000    0.000    0.000 managers.py:689(_consolidate_check)
       30    0.000    0.000    0.000    0.000 managers.py:1695(<genexpr>)
    30/10    0.002    0.000    8.239    0.824 agent.py:1032(compete)
       23    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
       20    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
       20    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       20    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       20    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       20    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       20    0.000    0.000    0.000    0.000 {built-in method time.time}
       20    0.000    0.000    0.000    0.000 multiarray.py:853(bincount)
       20    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
       20    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
       20    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       20    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
       20    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(bincount)
       20    0.000    0.000    0.000    0.000 numerictypes.py:654(<listcomp>)
       20    0.000    0.000    0.000    0.000 numerictypes.py:655(<listcomp>)
       20    0.000    0.000    0.000    0.000 numerictypes.py:602(find_common_type)
       20    0.000    0.000    0.000    0.000 _asarray.py:300(<setcomp>)
       20    0.000    0.000    0.000    0.000 _asarray.py:223(require)
       20    0.000    0.000    0.001    0.000 index_tricks.py:318(__getitem__)
       20    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_object}
       20    0.000    0.000    0.000    0.000 inference.py:360(is_sequence)
       20    0.000    0.000    0.000    0.000 common.py:1743(validate_all_hashable)
       20    0.000    0.000    0.000    0.000 cast.py:743(infer_dtype_from_scalar)
